"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.067472082E0,-1.408125019E1,-4.404375076E1,-8.400000572E0,4.699674029E1
3.077472082E0,-1.396875095E1,-4.404375076E1,-8.212500572E0,4.692998136E1
3.087472082E0,-1.381875038E1,-4.385625076E1,-8.400000572E0,4.674279199E1
3.097472082E0,-1.355625057E1,-4.353750229E1,-7.968750477E0,4.629024756E1
3.107472082E0,-1.372500038E1,-4.359375000E1,-7.875000477E0,4.637678629E1
3.117472082E0,-1.387500095E1,-4.387500000E1,-7.612500191E0,4.664205651E1
3.127472082E0,-1.391250038E1,-4.391250229E1,-7.631250381E0,4.669155712E1
3.137472082E0,-1.378125095E1,-4.376250076E1,-7.556250095E0,4.649920716E1
3.147472082E0,-1.381875038E1,-4.378125000E1,-7.162500381E0,4.646565533E1
3.157472082E0,-1.400625038E1,-4.385625076E1,-7.068750381E0,4.657803144E1
3.167472082E0,-1.381875038E1,-4.368750000E1,-6.956250191E0,4.634592684E1
